iter	Logloss
0	0.662145983
1	0.6397163997
2	0.6216468384
3	0.6028347387
4	0.5894589054
5	0.5766217301
6	0.5666696505
7	0.5585711132
8	0.5508360352
9	0.5419132777
10	0.5352897082
11	0.5260323278
12	0.5214576913
13	0.5159513547
14	0.5112937912
15	0.5068764619
16	0.500489249
17	0.4971386739
18	0.4943374274
19	0.4915426336
20	0.4871100113
21	0.4847720825
22	0.483183269
23	0.4813034469
24	0.4791873975
25	0.4766119747
26	0.474538031
27	0.4730187456
28	0.4713549929
29	0.470293267
30	0.4689781967
31	0.4678349664
32	0.4668301595
33	0.4653556023
34	0.4642880744
35	0.4635142634
36	0.462485659
37	0.460433424
38	0.4594686265
39	0.4586854718
40	0.4576810116
41	0.4567785515
42	0.4558969013
43	0.4550543341
44	0.4546290959
45	0.4541488816
46	0.4534562852
47	0.4529074395
48	0.4523269534
49	0.4516411451
50	0.4513084494
51	0.4505332214
52	0.4500295533
53	0.4496852447
54	0.4491471639
55	0.4486926201
56	0.4481797483
57	0.4476009598
58	0.4463429658
59	0.4458736709
60	0.4453147322
61	0.4448139886
62	0.4445679896
63	0.444211767
64	0.4438661916
65	0.4435110461
66	0.4430917108
67	0.4426644822
68	0.4423509914
69	0.4420122702
70	0.4414727119
71	0.4413046747
72	0.4409728664
73	0.440382361
74	0.4399787783
75	0.4397081404
76	0.4394919208
77	0.439239445
78	0.4389015259
79	0.4385992458
80	0.4383944427
81	0.4381413504
82	0.4379711055
83	0.4377630102
84	0.4373664662
85	0.4372167177
86	0.4369974793
87	0.4367197846
88	0.4364279055
89	0.4362605796
90	0.4362321762
91	0.4361078464
92	0.435780649
93	0.4351801116
94	0.4348334331
95	0.4346332199
96	0.4343487358
97	0.4342003179
98	0.4340518675
99	0.4338641122
100	0.4336787958
101	0.4335593383
102	0.43330502
103	0.4332218747
104	0.4330328809
105	0.4327932619
106	0.4324915276
107	0.4321772913
108	0.4320639519
109	0.4317059589
110	0.4314756732
111	0.4312281379
112	0.4310945724
113	0.4309297843
114	0.430689273
115	0.4306346303
116	0.4304690387
117	0.430388386
118	0.4302181982
119	0.4300383025
120	0.429530964
121	0.4294076435
122	0.4293017534
123	0.4292122609
124	0.4290872755
125	0.4290687429
126	0.4288946658
127	0.428819426
128	0.428685653
129	0.4285909165
130	0.4284758276
131	0.4284158462
132	0.4282100543
133	0.4281364327
134	0.4280778755
135	0.4278982495
136	0.4277123865
137	0.4276394082
138	0.4274486749
139	0.4274273927
140	0.4272743048
141	0.4272375866
142	0.4271188522
143	0.4271105889
144	0.4269615309
145	0.4269576716
146	0.4268027655
147	0.4266502462
148	0.4264280625
149	0.4264046922
150	0.4263847049
151	0.42637119
152	0.4262407517
153	0.4259314727
154	0.4259128001
155	0.4256989979
156	0.425523632
157	0.4253866615
158	0.4252549774
159	0.4252443603
160	0.425231619
161	0.4250304412
162	0.4247748636
163	0.4245926181
164	0.4244673958
165	0.4244154472
166	0.4244030449
167	0.4243420166
168	0.424338347
169	0.4243313276
170	0.4243221113
171	0.4243163345
172	0.4242206565
173	0.4242102775
174	0.4241719168
175	0.4240733643
176	0.4237053975
177	0.4236320047
178	0.4235909205
179	0.4234890859
180	0.423382354
181	0.4232314052
182	0.4232177897
183	0.4230545166
